Effective Atmospheric Angular Momentum Functions (AAM)

File name                    : ESMGFZ_AAM_v1.0_03h_2003.asc
File contents                : effective angular momentum functions from atmospheric mass and motion terms
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2017-08-16
Version number               : v1.0
 
References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010), 
                               Seasonal polar motion excitation from numerical models of atmosphere, ocean, 
                               and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127
 
Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
                               Dep. 1: Geodesy and Remote Sensing
                               Sec. 1.3: Earth System Modelling
                               Telegrafenberg
                               14473 Potsdam, Germany
 
Temporal domain              : 01.01.2003, 00:00 UTC until 31.12.2003, 21:00 UTC
Temporal resolution          : 3h 
Number of data records       : 2920
Subtracted mean values       : mean from 2003-01-01 to 2014-12-31
                               -1.991162615023533e-13  -3.333353491031771e-13  -1.943277061004136e-14  -9.203219554984803e-10  -1.496376584857922e-08   2.734436408977633e-08
 
Data Source                  : 3h ECMWF operational analysis wind and surface pressure
Horizontal domain            : global
Horizontal resolution        : 0.5 x 0.5 degree (regular grid) 
Correction                   : Atm. surface pressure tides are subtracted, inverted barometer correction over ocean applied
 
Data assimilated             : None

Notes : These AAMs are part of a set of consistently processed Earth rotation excitation 
        function (AAM, OAM, HAM). The ocean model MPIOM and the hydrological model LSDM were
        forced consistently with operational analysis data from the ECMWF.

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
YYYY MM DD HH    MJD          AAM mass term                                                           AAM motion term
                              x-component             y-component             z-component             x-component             y-component             z-component

2003 01 01 00 52640.0	 -6.365845684779021e-11  -2.454940604399521e-07  -2.672206914965615e-10   5.882918089384568e-09  -1.186076326863036e-07   5.003255226430512e-09
2003 01 01 03 52640.125	 -8.448634511145068e-10  -2.442794493177255e-07  -2.713884550261051e-10  -3.937324011593051e-08  -8.124868406706704e-08   4.994060687434841e-09
2003 01 01 06 52640.250	  3.032621800051487e-09  -2.436739824239575e-07  -2.461475886427333e-10  -3.269730828847669e-08  -3.374355663102903e-08   4.952943768718987e-09
2003 01 01 09 52640.375	  1.214509801829547e-08  -2.425152762229746e-07  -2.635529482622148e-10  -2.050537571132908e-08  -5.307724646179828e-09   4.950876317920707e-09
2003 01 01 12 52640.500	  2.071989874606455e-08  -2.330297164001508e-07  -2.699617923151819e-10   2.707300806981588e-08   1.896748618534831e-08   4.970459577028422e-09
2003 01 01 15 52640.625	  1.855876492566219e-08  -2.263872581201137e-07  -2.826017824294638e-10   7.374556906677615e-08   7.795483755753424e-09   5.121624908199056e-09
2003 01 01 18 52640.750	  2.268471880086888e-08  -2.252596475257002e-07  -2.885132461333012e-10   1.225630944803166e-07  -7.398100835696510e-09   5.250445323671751e-09
2003 01 01 21 52640.875	  2.221990953348923e-08  -2.226905083237894e-07  -2.925936481981273e-10   1.181007495998518e-07  -5.694938961541998e-08   5.249562620862538e-09
2003 01 02 00 52641.0	  2.122264563149192e-08  -2.125119295529203e-07  -2.922906681073052e-10   9.386504743147171e-08  -1.069774107313456e-07   5.276629306168948e-09
2003 01 02 03 52641.125	  1.839206115121218e-08  -2.106490622785917e-07  -3.007460241150375e-10   1.701394572687303e-08  -1.095581511104566e-07   5.405781654007081e-09
2003 01 02 06 52641.250	  2.365815647517464e-08  -2.063258582828340e-07  -2.945952369750690e-10  -3.958060144876767e-08  -5.336258753245471e-08   5.522547251533247e-09
2003 01 02 09 52641.375	  2.773749151927092e-08  -2.048481268419581e-07  -2.928742789077929e-10  -5.887585577262202e-08   1.246606096821751e-08   5.556281573469036e-09
