Effective Oceanic Angular Momentum Functions (OAM)

File name                    : ESMGFZ_OAM_v1.0_03h_2018.asc
File contents                : effective angular momentum functions from oceanic mass and motion terms
File units                   : dimensionless earth rotation excitation functions
Issue date                   : 2019-01-01
Version number               : v1.0
 
References                   : Dobslaw, H., R. Dill, A. Groetzsch, A. Brzezinski, and M. Thomas (2010), 
                               Seasonal polar motion excitation from numerical models of atmosphere, ocean, 
                               and continental hydrosphere, J. Geophys. Res., doi:10.1029/2009JB007127
 
Contact                      : Henryk Dobslaw, dobslaw@gfz-potsdam.de
Affiliation                  : Deutsches GeoForschungsZentrum GFZ
                               Dep. 1: Geodesy and Remote Sensing
                               Sec. 1.3: Earth System Modelling
                               Telegrafenberg
                               14473 Potsdam, Germany
 
Temporal domain              : 01.01.2018, 00:00 UTC until 31.12.2018, 21:00 UTC
Temporal resolution          : 3h 
Number of data records       : 2920
Subtracted mean values       : mean from 2003-01-01 to 2014-12-31
                               7.152098599129423e-17   1.847667664741510e-17   3.794620422326981e-20  -3.220254498203050e-08   8.226002041060833e-08   3.462197020095727e-09
 
Numerical model              : MPIOM (Max-Planck-Institute Ocean Model)
Horizontal domain            : global
Horizontal resolution        : 1.0 x 1.0 degree
 
Model forcing                : 3h ECMWF operational data
Correction                   : Oceanic pressure tides are subtracted, global mass (Greatbatch) correction applied
 
Data assimilated             : None

Notes : These AAMs are part of a set of consistently processed Earth rotation excitation 
        function (AAM, OAM, HAM). The ocean model MPIOM and the hydrological model LSDM were
        forced consistently with operational analysis data from the ECMWF.

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
YYYY MM DD HH    MJD          OAM mass term                                                           OAM motion term
                              x-component             y-component             z-component             x-component             y-component             z-component

2018 01 01 00 58119.0	 -1.119419635252651e-07  -3.464076681352569e-08  -1.259853897322287e-10   1.898832794925793e-07   7.049726203724318e-08  -4.708205671282089e-10
2018 01 01 03 58119.125	 -9.803816222958087e-08  -2.378439316501864e-08  -9.036033244029565e-11   1.824007324197875e-07   1.563874385217108e-08  -4.856348920876208e-10
2018 01 01 06 58119.250	 -8.382557485611803e-08  -2.847943582498455e-08  -6.324237588890049e-11   1.613245609697631e-07   8.499652959190206e-09  -4.078682806609590e-10
2018 01 01 09 58119.375	 -7.837040537983281e-08  -3.651072359665312e-08  -5.804198742097442e-11   1.239583051879041e-07  -8.924417563509644e-09  -3.349337785760852e-10
2018 01 01 12 58119.500	 -7.166275128033579e-08  -4.649172102037804e-08  -4.205266471220940e-11   8.029320596000845e-08  -4.173742628312475e-08  -3.008769500606131e-10
2018 01 01 15 58119.625	 -6.074807877477185e-08  -6.107082694683750e-08  -2.596002332292807e-11   7.045633312349467e-08  -1.150582115212567e-08  -2.517014430938231e-10
2018 01 01 18 58119.750	 -6.664593098973671e-08  -6.027248214821105e-08  -3.267853949626979e-11   9.883252230448487e-08   1.611082688393212e-08  -1.762885843201839e-10
2018 01 01 21 58119.875	 -8.101929283647444e-08  -4.252075929379696e-08  -7.590688591710920e-11   1.019344104128984e-07   5.276086557110877e-08  -1.829336974420410e-10
2018 01 02 00 58120.0	 -9.301819242684664e-08  -2.821996159254814e-08  -1.203535916084687e-10   1.113603395192636e-07   9.872911523235187e-08  -2.553840161658120e-10
2018 01 02 03 58120.125	 -1.017948423832939e-07  -1.569000487757653e-08  -1.235128962364717e-10   1.273287088052318e-07   1.171346258553763e-07  -3.030065463672460e-10
2018 01 02 06 58120.250	 -1.006950441040880e-07   2.276511467607794e-09  -1.239463711418357e-10   1.365619940910072e-07   7.625841837495267e-08  -3.122266256720789e-10
2018 01 02 09 58120.375	 -9.883777815589920e-08   2.647530896479261e-08  -1.624073401945982e-10   1.086084648353477e-07  -8.572509795632049e-09  -3.038544013113792e-10
